:ID,:LABEL,Name,tagbased:boolean,BadgeClass
Altruist,Badge,Altruist,false,bronze
Analytical,Badge,Analytical,false,bronze
Announcer,Badge,Announcer,false,bronze
Archaeologist,Badge,Archaeologist,false,silver
Autobiographer,Badge,Autobiographer,false,bronze
Benefactor,Badge,Benefactor,false,bronze
Beta,Badge,Beta,false,silver
Booster,Badge,Booster,false,silver
Caucus,Badge,Caucus,false,bronze
Census,Badge,Census,false,silver
Citizen Patrol,Badge,Citizen Patrol,false,bronze
Civic Duty,Badge,Civic Duty,false,silver
Cleanup,Badge,Cleanup,false,bronze
Commentator,Badge,Commentator,false,bronze
Constable,Badge,Constable,false,gold
Constituent,Badge,Constituent,false,silver
Convention,Badge,Convention,false,silver
Copy Editor,Badge,Copy Editor,false,gold
Critic,Badge,Critic,false,bronze
Curious,Badge,Curious,false,bronze
Custodian,Badge,Custodian,false,bronze
Deputy,Badge,Deputy,false,silver
Disciplined,Badge,Disciplined,false,bronze
Editor,Badge,Editor,false,bronze
Electorate,Badge,Electorate,false,gold
Enlightened,Badge,Enlightened,false,silver
Enthusiast,Badge,Enthusiast,false,silver
Epic,Badge,Epic,false,silver
Excavator,Badge,Excavator,false,bronze
Explainer,Badge,Explainer,false,bronze
Famous Question,Badge,Famous Question,false,gold
Fanatic,Badge,Fanatic,false,gold
Favorite Question,Badge,Favorite Question,false,silver
Generalist,Badge,Generalist,false,silver
Good Answer,Badge,Good Answer,false,silver
Good Question,Badge,Good Question,false,silver
Great Answer,Badge,Great Answer,false,gold
Great Question,Badge,Great Question,false,gold
Guru,Badge,Guru,false,silver
Informed,Badge,Informed,false,bronze
Inquisitive,Badge,Inquisitive,false,silver
Investor,Badge,Investor,false,bronze
Legendary,Badge,Legendary,false,gold
Lifeboat,Badge,Lifeboat,false,gold
Lifejacket,Badge,Lifejacket,false,silver
Marshal,Badge,Marshal,false,gold
Mortarboard,Badge,Mortarboard,false,bronze
Necromancer,Badge,Necromancer,false,silver
Nice Answer,Badge,Nice Answer,false,bronze
