v1,v2,weight
.hack-gu,.hack-gu-last-recode,3
0h-h1,achievements,2
1-bit-rogue,ios,1
100-percent-orange-juice,achievements,1
100-rogues,ios,1
1000-amps,windows,1
10000000,achievements,1
18-wheels-of-steel,technical-issues,1
2014-fifa-world-cup-brazil,ps3,1
3d-analyze,emulation,1
3d-analyze,pc,1
3d-analyze,prince-of-persia-the-sands-of-time,1
3d-analyze,splinter-cell-chaos-theory,1
7-days-to-die,hosting,1
7-days-to-die,networking,1
7-days-to-die,ps4,3
7-days-to-die,server-administration,1
7-days-to-die,terminology,1
7-days-to-die,voice-chat,1
7-days-to-die,windows-8.1,1
7-days-to-die,xbox-one,2
8-ball-pool,android,1
a-boy-and-his-blob,nintendo-wii,2
a-dark-room,ios,2
a-dark-room,mobile,1
a-hat-in-time,achievements,1
a-hat-in-time,directx-9,1
a-short-hike,achievements,1
a-space-shooter,psp,1
a-valley-without-wind,a-valley-without-wind-2,1
a-virus-named-tom,achievements,1
a-way-out,ps4,1
abandonware,backwards-compatibility,1
abandonware,dosbox,1
abandonware,legal,2
accessibility,guild-wars-2,1
accessibility,minecraft-java-edition,2
accessibility,mods,1
accessibility,the-elder-scrolls-3-morrowind,1
accessibility,the-elder-scrolls-5-skyrim,1
achievements,adventure-capitalist,3
achievements,age-of-empires-ii-the-age-of-kings,1
achievements,alien-isolation,1
achievements,alien-swarm,5
achievements,alliance-of-valiant-arms,1
achievements,amazing-breaker,1
achievements,analogue-a-hate-story,1
achievements,and-yet-it-moves,1
achievements,android,6
achievements,angry-birds,3
achievements,angry-birds-space,1
achievements,animal-crossing-new-leaf,1
achievements,anno-1404,1
achievements,anno-2070,3
achievements,anomaly-warzone-earth,1
achievements,assassins-creed,1
achievements,assassins-creed-2,2
achievements,assassins-creed-3,5
achievements,assassins-creed-4-black-flag,2
achievements,assassins-creed-brotherhood,1
achievements,assassins-creed-revelations,7
achievements,atom-zombie-smasher,1
achievements,bag-it,3
achievements,banished,1
achievements,bastion,4
achievements,batman-arkham-asylum,2
achievements,batman-arkham-city,3
achievements,batman-arkham-origins,1
achievements,battle.net,3
achievements,battleblock-theater,1
achievements,battlefield-3,5
achievements,battlefield-bad-company-2,1
achievements,beat-hazard,1
achievements,beautiful-katamari,1
achievements,bioshock,1
achievements,bioshock-infinite,4
achievements,bit-trip-beat,3
achievements,black-mesa,3
achievements,blade-kitten,1
achievements,bleed,2
achievements,bloodborne,1
achievements,bloons-td-5,1
achievements,borderlands,5
achievements,borderlands-2,19
achievements,borderlands-pre-sequel,2
achievements,botanicula,2
achievements,braid,1
achievements,browser-quest,1
achievements,brutal-legend,1
achievements,bug-defense,1
achievements,burnout-paradise,3
achievements,call-of-duty-black-ops,2
achievements,call-of-duty-black-ops-2,3
achievements,call-of-duty-modern-warfare-2,3
achievements,call-of-duty-modern-warfare-3,4
achievements,castle-crashers,1
achievements,cave-story,1
achievements,cheats,3
achievements,chivalry-medieval-warfare,1
achievements,cities-skylines,4
achievements,civilization-5,21
achievements,civilization-5-brave-new-world,1
achievements,civilization-5-gods-and-kings,1
achievements,civilization-6,2
achievements,clash-of-clans,1
achievements,clash-royale,1
achievements,cod-black-ops-zombies,1
achievements,coin-crypt,1
achievements,condemned,1
achievements,cookie-clicker,1
achievements,counter-strike-global-offensive,4
achievements,crackdown-2,1
achievements,crash-bandicoot-n-sane-trilogy,1
achievements,crypt-of-the-necrodancer,3
achievements,cubemen,1
achievements,cut-the-rope,1
achievements,dance-central-3,1
achievements,dance-central-spotlight,1
achievements,dark-souls,2
achievements,dark-souls-2,1
achievements,dark-souls-3,2
achievements,darksiders-2,1
achievements,dashy-crashy,1
achievements,day-of-the-tentacle-remastered,1
achievements,dc-universe-online,1
